mass_i,mass_j,distance,time,pos_i_x,pos_i_y,pos_j_x,pos_j_y,message_x,message_y
7.375,5.5,4.151062965393066,3.6999998092651367,3.7930264,0.5929495,5.2436643,4.4822903,9.708428,2.2149265
5.5,7.375,4.041630268096924,3.799999952316284,5.1869445,4.363883,3.8400056,0.5533017,13.095756,1.8110503
7.375,5.5,4.041630268096924,3.799999952316284,3.8400056,0.5533017,5.1869445,4.363883,9.676878,2.157132
5.5,7.375,3.929525136947632,3.8999998569488525,5.1294727,4.243348,3.8875458,0.51524067,13.067389,1.7961032
7.375,5.5,3.929525136947632,3.8999998569488525,3.8875458,0.51524067,5.1294727,4.243348,9.650485,2.1034074
5.5,7.375,3.814631223678589,4.0,5.071246,4.1205482,3.9356487,0.47886875,13.068193,1.8010899
7.375,5.5,3.814631223678589,4.0,3.9356487,0.47886875,5.071246,4.1205482,9.641073,2.0634851
5.5,7.375,3.696822166442871,4.099999904632568,5.0122657,3.9953299,3.984314,0.44430038,13.067591,1.817124
7.375,5.5,3.696822166442871,4.099999904632568,3.984314,0.44430038,5.0122657,3.9953299,9.630596,2.0231357
5.5,7.375,3.575961112976074,4.199999809265137,4.952535,3.8675206,4.0335383,0.41166416,13.066851,1.8365535
7.375,5.5,3.575961112976074,4.199999809265137,4.0335383,0.41166416,4.952535,3.8675206,9.618968,1.9823666
5.5,7.375,3.4518985748291016,4.300000190734863,4.892064,3.7369256,4.0833154,0.38110542,13.066607,1.8560777
7.375,5.5,3.4518985748291016,4.300000190734863,4.0833154,0.38110542,4.892064,3.7369256,9.606094,1.9411914
5.5,7.375,3.3244709968566895,4.400000095367432,4.8308682,3.6033232,4.1336327,0.35278943,13.067027,1.8756479
7.375,5.5,3.3244709968566895,4.400000095367432,4.1336327,0.35278943,4.8308682,3.6033232,9.592593,1.8983663
5.5,7.375,3.1935007572174072,4.5,4.768973,3.4664602,4.1844716,0.3269052,13.068486,1.8949934
7.375,5.5,3.1935007572174072,4.5,4.1844716,0.3269052,4.768973,3.4664602,9.578262,1.8540215
5.5,7.375,3.058793544769287,4.599999904632568,4.706416,3.3260443,4.235804,0.30367061,13.079595,1.9112386
7.375,5.5,3.058793544769287,4.599999904632568,4.235804,0.30367061,4.706416,3.3260443,9.562212,1.8094083
5.5,7.375,2.920137643814087,4.700000286102295,4.6432533,3.181736,4.2875886,0.2833387,13.099631,1.9271258
7.375,5.5,2.920137643814087,4.700000286102295,4.2875886,0.2833387,4.6432533,3.181736,9.544221,1.76459
5.5,7.375,2.77730393409729,4.800000190734863,4.579564,3.033138,4.3397655,0.26620588,13.121566,1.9426246
7.375,5.5,2.77730393409729,4.800000190734863,4.3397655,0.26620588,4.579564,3.033138,9.552053,1.728212
5.5,7.375,2.6300456523895264,4.900000095367432,4.5154624,2.8797805,4.39225,0.25262266,13.145927,1.9575653
7.375,5.5,2.6300456523895264,4.900000095367432,4.39225,0.25262266,4.5154624,2.8797805,9.574443,1.6964
