,edge,message_x,message_y,dx,dy,r,mass_j,time
126,"(1, 0)",0.05182957,0.04819934,-1.7627596855163574,3.4072394371032715,3.8362224102020264,1.75,0.021000001579523087
127,"(2, 0)",0.13858236,0.18773168,-5.900380611419678,4.045639991760254,7.154138088226318,1.75,0.021000001579523087
128,"(0, 1)",-0.3445532,0.29971066,1.7627596855163574,-3.4072394371032715,3.8362224102020264,3.75,0.021000001579523087
129,"(2, 1)",0.13382575,0.24289918,-4.13762092590332,0.6384005546569824,4.186581134796143,3.75,0.021000001579523087
130,"(0, 2)",-0.5959634,0.420352,5.900380611419678,-4.045639991760254,7.154138088226318,4.5,0.021000001579523087
131,"(1, 2)",-0.31983382,0.2282967,4.13762092590332,-0.6384005546569824,4.186581134796143,4.5,0.021000001579523087
132,"(1, 0)",0.051844515,0.048224524,-1.7634382247924805,3.4064831733703613,3.835862636566162,1.75,0.02199999988079071
133,"(2, 0)",0.13858093,0.18773642,-5.900458812713623,4.045083522796631,7.15388822555542,1.75,0.02199999988079071
134,"(0, 1)",-0.3445331,0.29967132,1.7634382247924805,-3.4064831733703613,3.835862636566162,3.75,0.02199999988079071
135,"(2, 1)",0.13381241,0.24286658,-4.137020587921143,0.6386003494262695,4.186018466949463,3.75,0.02199999988079071
136,"(0, 2)",-0.59593403,0.42032835,5.900458812713623,-4.045083522796631,7.15388822555542,4.5,0.02199999988079071
137,"(1, 2)",-0.31981307,0.2282907,4.137020587921143,-0.6386003494262695,4.186018466949463,4.5,0.02199999988079071
138,"(1, 0)",0.0518594,0.04824967,-1.7641162872314453,3.405726194381714,3.8355023860931396,1.75,0.023000000044703484
139,"(2, 0)",0.1385795,0.18774113,-5.90053653717041,4.044526100158691,7.153636932373047,1.75,0.023000000044703484
140,"(0, 1)",-0.3445129,0.29963216,1.7641162872314453,-3.405726194381714,3.8355023860931396,3.75,0.023000000044703484
141,"(2, 1)",0.13379903,0.24283397,-4.136420249938965,0.6388001441955566,4.185455322265625,3.75,0.023000000044703484
142,"(0, 2)",-0.5959047,0.4203046,5.90053653717041,-4.044526100158691,7.153636932373047,4.5,0.023000000044703484
143,"(1, 2)",-0.3197923,0.22828472,4.136420249938965,-0.6388001441955566,4.185455322265625,4.5,0.023000000044703484
144,"(1, 0)",0.051874317,0.048274852,-1.7647943496704102,3.4049689769744873,3.835141897201538,1.75,0.024000000208616257
145,"(2, 0)",0.13857803,0.18774584,-5.900613784790039,4.04396915435791,7.153385639190674,1.75,0.024000000208616257
146,"(0, 1)",-0.34449264,0.2995928,1.7647943496704102,-3.4049689769744873,3.835141897201538,3.75,0.024000000208616257
147,"(2, 1)",0.1337857,0.24280134,-4.135819435119629,0.6389999389648438,4.184892177581787,3.75,0.024000000208616257
148,"(0, 2)",-0.5958752,0.42028078,5.900613784790039,-4.04396915435791,7.153385639190674,4.5,0.024000000208616257
149,"(1, 2)",-0.31977156,0.22827879,4.135819435119629,-0.6389999389648438,4.184892177581787,4.5,0.024000000208616257
150,"(1, 0)",0.05188924,0.04830002,-1.7654728889465332,3.4042112827301025,3.8347814083099365,1.75,0.02500000037252903
